iter	RMSE
0	13.95056845
1	13.15652952
2	12.345764
3	11.6483953
4	10.97870254
5	10.37261752
6	9.818817071
7	9.295672138
8	8.859132773
9	8.47326455
10	8.123295244
11	7.823494012
12	7.55545344
13	7.317636575
14	7.116050104
15	6.916260018
16	6.763773944
17	6.629894936
18	6.490771089
19	6.389283392
20	6.271914603
21	6.167687984
22	6.078993333
23	5.999409183
24	5.924610251
25	5.847263033
26	5.788822877
27	5.737885655
28	5.693666206
29	5.656267458
30	5.603875922
31	5.56516705
32	5.53756851
33	5.507251457
34	5.474654774
35	5.445250162
36	5.425515199
37	5.405047045
38	5.383096794
39	5.366803948
40	5.337260174
41	5.309877668
42	5.284943506
43	5.265008091
44	5.245994182
45	5.230095099
46	5.215274334
47	5.192018682
48	5.179487762
49	5.170378629
50	5.162822735
51	5.149174041
52	5.139696015
53	5.122032969
54	5.100438131
55	5.092540512
56	5.080930855
57	5.073359699
58	5.057823585
59	5.043458671
60	5.035086821
61	5.026371959
62	5.018844086
63	5.003425191
64	4.995285358
65	4.989026269
66	4.977942074
67	4.96273733
68	4.948022804
69	4.939829973
70	4.926147025
71	4.91580508
72	4.903465925
73	4.897852229
74	4.889615273
75	4.881277784
76	4.875986239
77	4.869394524
78	4.85904524
79	4.852491594
80	4.843004508
81	4.835227363
82	4.828718562
83	4.81814039
84	4.809775128
85	4.805164742
86	4.797171853
87	4.785876652
88	4.767648016
89	4.762427082
90	4.758446288
91	4.749933065
92	4.746577618
93	4.740124227
94	4.733707597
95	4.732074628
96	4.718884811
97	4.71721266
98	4.716391022
99	4.704558622
